"Record ID","src_enUS","tg_frFR","tg_deDE","tg_ptBR","tg_esLA","tg_jaJP","tg_zhCN","tg_plPL","tg_ukUA","tg_ruRU","tg_trTR","Path"
"HW.HUD.EventText,Divine.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> is Divine!,{TeamAttitude} <PlayerName>{GodName}</> is Divine!)","{Gender}|gender({TeamAttitude} {GodName} est divin !,{TeamAttitude} {GodName} est divine !)","{Gender}|gender({TeamAttitude} {GodName} ist göttlich!,{TeamAttitude} {GodName} ist göttlich!)","{Gender}|gender({TeamAttitude} {GodName} é Divino!,{TeamAttitude} {GodName} é Divina!)","¡{Gender}|gender({TeamAttitude} {GodName} es divino!,{TeamAttitude} {GodName} es divina!)","{Gender}|gender({TeamAttitude}{GodName}が神技を達成しました！,{TeamAttitude}{GodName}が神技を達成しました！)","{Gender}|gender({TeamAttitude}{GodName}已无可匹敌！,{TeamAttitude}{GodName}已无可匹敌！)","{Gender}|gender({TeamAttitude} {GodName} osiąga boskość!,{TeamAttitude} {GodName} osiąga boskość!)","{Gender}|gender({TeamAttitude} {GodName} – божество!,{TeamAttitude} {GodName} – божество!)","{Gender}|gender({TeamAttitude} {GodName} обрел божественность!,{TeamAttitude} {GodName} обрела божественность!)","{Gender}|gender({TeamAttitude} {GodName} artık İlahi!,{TeamAttitude} {GodName} artık İlahi!)","HW.HUD.EventText"
"HW.HUD.EventText,Divine.PlayerName","<PlayerName>{PlayerName}</> is Divine!","{PlayerName} est divin !","{PlayerName} ist göttlich!","{PlayerName} é divinal!","¡{PlayerName} es una divinidad!","{PlayerName}が神技を達成しました！","{PlayerName}无可匹敌！","{PlayerName} osiąga boskość!","{PlayerName} – божество!","{PlayerName} сражается божественно!","{PlayerName} artık İlahi!","HW.HUD.EventText"
"HW.HUD.EventText,DoubleKill.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> has a Double Kill!,{TeamAttitude} <PlayerName>{GodName}</> has a Double Kill!)","{Gender}|gender({TeamAttitude} {GodName} fait un doublé !,{TeamAttitude} {GodName} fait un doublé !)","{Gender}|gender({TeamAttitude} {GodName} hat einen Double-Kill erzielt!,{TeamAttitude} {GodName} hat einen Double-Kill erzielt!)","{Gender}|gender({TeamAttitude} {GodName} fez uma eliminação dupla!,{TeamAttitude} {GodName} fez uma eliminação dupla!)","¡{Gender}|gender({TeamAttitude} {GodName} logró una eliminación doble!,{TeamAttitude} {GodName} logró una eliminación doble!)","{Gender}|gender({TeamAttitude}{GodName},{TeamAttitude}{GodName}がダブルキルを達成しました！)","{Gender}|gender({TeamAttitude}{GodName}达成双杀！,{TeamAttitude}{GodName}达成双杀！)","{Gender}|gender({TeamAttitude} {GodName} zdobywa podwójne zabójstwo!,{TeamAttitude} {GodName} zdobywa podwójne zabójstwo!)","{Gender}|gender({TeamAttitude} {GodName} вчинив подвійне вбивство!,{TeamAttitude} {GodName} вчинила подвійне вбивство!)","{Gender}|gender({TeamAttitude} {GodName} совершил двойное убийство!,{TeamAttitude} {GodName} совершила двойное убийство!)","{Gender}|gender({TeamAttitude} {GodName} Çifte Katliam yaptı!,{TeamAttitude} {GodName} Çifte Katliam yaptı!)","HW.HUD.EventText"
"HW.HUD.EventText,DoubleKill.PlayerName","<PlayerName>{PlayerName}</> has a Double Kill!","{PlayerName} fait un doublé !","Doppel-Kill von {PlayerName}!","{PlayerName} fez uma eliminação dupla","¡{PlayerName} logró una eliminación doble!","{PlayerName}がダブルキルを達成しました！","{PlayerName}达成双杀！","{PlayerName} zdobywa podwójne zabójstwo!","{PlayerName} чинить подвійне вбивство!","{PlayerName} совершает двойное убийство!","{PlayerName} Çifte Katliam yaptı!","HW.HUD.EventText"
"HW.HUD.EventText,FirstBlood.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> has drawn First Blood!,{TeamAttitude} <PlayerName>{GodName}</> has drawn First Blood!)","{Gender}|gender({TeamAttitude} {GodName} verse le premier sang !,{TeamAttitude} {GodName} verse le premier sang !)","{Gender}|gender({TeamAttitude} {GodName} hat das erste Blut erzielt!,{TeamAttitude} {GodName} hat das erste Blut erzielt!)","{Gender}|gender({TeamAttitude} {GodName} fez a primeira eliminação!,{TeamAttitude} {GodName} fez a primeira eliminação!)","¡{Gender}|gender({TeamAttitude} {GodName} logró la primera sangre!,{TeamAttitude} {GodName} logró la primera sangre!)","{Gender}|gender({TeamAttitude}{GodName}がファーストキルを獲得しました！,{TeamAttitude}{GodName}がファーストキルを獲得しました！)","{Gender}|gender({TeamAttitude}{GodName}已获得第一滴血！,{TeamAttitude}{GodName}已获得第一滴血！)","{Gender}|gender({TeamAttitude} {GodName} przelewa pierwszą krew!,{TeamAttitude} {GodName} przelewa pierwszą krew!)","{Gender}|gender({TeamAttitude} {GodName} пустив першу кров!,{TeamAttitude} {GodName} пустила першу кров!)","{Gender}|gender({TeamAttitude} {GodName} пролил первую кровь!,{TeamAttitude} {GodName} пролила первую кровь!)","{Gender}|gender({TeamAttitude} {GodName} İlk Kanı akıttı!,{TeamAttitude} {GodName} İlk Kanı akıttı!)","HW.HUD.EventText"
"HW.HUD.EventText,FirstBlood.PlayerName","<PlayerName>{PlayerName}</> has drawn First Blood!","{PlayerName} verse le premier sang !","{PlayerName} hat das erste Blut vergossen!","{PlayerName} fez a primeira execução!","¡{PlayerName} derramó la primera sangre!","{PlayerName}がファーストキルを獲得しました！","{PlayerName}获得了第一滴血！","{PlayerName} rozlewa pierwszą krew!","{PlayerName} пускає першу кров!","{PlayerName} пускает первую кровь!","{PlayerName} İlk Kanı akıttı!","HW.HUD.EventText"
"HW.HUD.EventText,Godlike.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> is Godlike!,{TeamAttitude} <PlayerName>{GodName}</> is Godlike!)","{Gender}|gender({TeamAttitude} {GodName} est un dieu suprême !,{TeamAttitude} {GodName} est une déesse suprême !)","{Gender}|gender({TeamAttitude} {GodName} ist gottgleich!,{TeamAttitude} {GodName} ist gottgleich!)","{Gender}|gender({TeamAttitude} {GodName} é venerado!,{TeamAttitude} {GodName} é venerada!)","¡{Gender}|gender({TeamAttitude} {GodName} es como un dios!,{TeamAttitude} {GodName} es como un dios!)","{Gender}|gender({TeamAttitude}{GodName}が神がかりを達成しました！,{TeamAttitude}{GodName}が神がかりを達成しました！)","{Gender}|gender({TeamAttitude}{GodName}已经超神！,{TeamAttitude}{GodName}已经超神！)","{Gender}|gender({TeamAttitude} {GodName} jest boski!,{TeamAttitude} {GodName} jest boska!)","{Gender}|gender({TeamAttitude} {GodName} – богоподібний!,{TeamAttitude} {GodName} – богоподібна!)","{Gender}|gender({TeamAttitude} {GodName}  теперь богоподобный!,{TeamAttitude} {GodName} теперь богоподобная!)","{Gender}|gender({TeamAttitude} {GodName} artık Tanrısal!,{TeamAttitude} {GodName} artık Tanrısal!)","HW.HUD.EventText"
"HW.HUD.EventText,Godlike.PlayerName","<PlayerName>{PlayerName}</> is Godlike!","{PlayerName} est une vraie divinité !","{PlayerName} ist gottgleich!","{PlayerName} é meu Deus!","¡{PlayerName} es como un dios!","{PlayerName}が神がかりを達成しました！","{PlayerName}已经超神！","{PlayerName} jest niczym bóstwo!","{PlayerName} – богоподібне створіння!","{PlayerName} сражается богоподобно!","{PlayerName} Tanrısal!","HW.HUD.EventText"
"HW.HUD.EventText,Immortal.GodName","{Gender}|gender({TeamAttitude} <PlayerName>{GodName}</> is Immortal!,{TeamAttitude} <PlayerName>{GodName}</> is Immortal!)","{Gender}|gender({TeamAttitude} {GodName} est immortel !,{TeamAttitude} {GodName} est immortelle !)","{Gender}|gender({TeamAttitude} {GodName} ist unsterblich!,{TeamAttitude} {GodName} ist unsterblich!)","{Gender}|gender({TeamAttitude} {GodName} é imortal!,{TeamAttitude} {GodName} é Imortal!)","¡{Gender}|gender({TeamAttitude} {GodName} es inmortal!,{TeamAttitude} {GodName} es inmortal!)","{Gender}|gender({TeamAttitude}{GodName}が不死を達成しました！,{TeamAttitude}{GodName}が不死を達成しました！)","{Gender}|gender({TeamAttitude}{GodName}已成为不朽！,{TeamAttitude}{GodName}已成为不朽！)","{Gender}|gender({TeamAttitude} {GodName} jest nieśmiertelny!,{TeamAttitude} {GodName} jest nieśmiertelna!)","{Gender}|gender({TeamAttitude} {GodName} – безсмертний!,{TeamAttitude} {GodName} – безсмертна!)","{Gender}|gender({TeamAttitude} {GodName} теперь бессмертный!,{TeamAttitude} {GodName} теперь бессмертная!)","{Gender}|gender({TeamAttitude} {GodName} artık Ölümsüz!,{TeamAttitude} {GodName} artık Ölümsüz!)","HW.HUD.EventText"
"HW.HUD.EventText,Immortal.PlayerName","<PlayerName>{PlayerName}</> is Immortal!","{PlayerName} est immortel !","{PlayerName} ist unsterblich!","{PlayerName} é imortal!","¡{PlayerName} es inmortal!","{PlayerName} が不死を達成しました！","{PlayerName} 不朽！","{PlayerName} osiąga nieśmiertelność!","{PlayerName} – безсмертне створіння!","{PlayerName} обладает бессмертием!","{PlayerName} artık Ölümsüz!","HW.HUD.EventText"
